Wall time,Step,Value
1714159179.9221892,25,4.475599765777588
1714159246.8355706,50,3.8473000526428223
1714159314.2024333,75,3.110599994659424
1714159381.1165812,100,2.344099998474121
1714159445.9006195,125,2.097599983215332
1714159507.5225906,150,1.9012000560760498
1714159568.1462467,175,1.8955999612808228
1714159628.9684691,200,1.6957999467849731
1714159689.7829835,225,1.7819000482559204
1714159748.9258335,250,1.648900032043457
1714159807.738615,275,1.5875999927520752
1714159867.4154048,300,1.6303999423980713
1714159926.3286965,325,1.3240000009536743
1714159984.7523894,350,1.301900029182434
1714160042.9075656,375,1.1864999532699585
1714160101.4347212,400,1.2698999643325806
1714160159.1594796,425,1.232699990272522
1714160216.2208922,450,1.281499981880188
1714160272.640302,475,1.2482000589370728
1714160329.7406716,500,1.2526999711990356
1714160386.1103785,525,1.2954000234603882
1714160443.0660007,550,1.295799970626831
1714160499.570179,575,1.2973999977111816
1714160556.5724354,600,1.2890000343322754
1714160612.186031,625,1.1601999998092651
1714160668.7140472,650,1.211300015449524
1714160724.7164826,675,1.26419997215271
1714160781.0632427,700,1.166700005531311
1714160836.877709,725,1.188599944114685
1714160892.5933094,750,1.1658999919891357
1714160948.2187195,775,1.3863999843597412
1714161004.1387167,800,1.1403000354766846
1714161059.1964264,825,1.167099952697754
1714161115.1485481,850,1.1378999948501587
1714161170.0566387,875,1.1062999963760376
1714161224.999337,900,1.2374999523162842
1714161280.066757,925,1.177899956703186
1714161335.6774259,950,1.1007000207901
1714161390.6587384,975,1.1753000020980835
1714161445.3609772,1000,1.1944999694824219
1714162384.3898425,1025,1.1263999938964844
1714162453.8116717,1050,1.138200044631958
1714162522.3657653,1075,1.1198999881744385
1714162590.6362753,1100,1.1282999515533447
1714162654.4045975,1125,1.1478999853134155
1714162715.7854524,1150,1.2045999765396118
1714162776.369754,1175,1.201200008392334
1714162837.0257158,1200,1.1792999505996704
1714162895.9821758,1225,1.142699956893921
1714162955.183243,1250,1.107200026512146
